Domain assignments for functions:
 ASSIGN   : 80 Inst          [orange_E]::OrangeShareable
 ASSIGN   : 81 Inst          [orange_E]::OrangeShareable
 ASSIGN   : 82 FunctionEntry [orange_E]::OrangeMain
 ASSIGN   : 83 FunctionEntry [orange_E]::OrangeShareable
 ASSIGN   : 84 FunctionEntry [orange_E]::OrangeShareable
 ASSIGN   : 85 FunctionEntry [orange_E]::OrangeShareable
 ASSIGN   : 86 FunctionEntry [orange_E]::OrangeShareable
 ASSIGN   : 87 FunctionEntry [purple_E]::PurpleOrangeCallable
 ASSIGN   : 88 FunctionEntry [purple_E]::PurpleOrangeConstructable
 ASSIGN   : 89 Param         [orange_E]::OrangeShareable
 ASSIGN   : 90 Param         [orange_E]::OrangeShareable
 ASSIGN   : 91 Param         [orange_E]::OrangeShareable
 ASSIGN   : 92 Param         [orange_E]::OrangeShareable
 ASSIGN   : 93 Param         [orange_E]::OrangeShareable
 ASSIGN   : 94 Param         [orange_E]::OrangeShareable
 ASSIGN   : 95 Param         [orange_E]::OrangeShareable
 ASSIGN   : 96 Param         [orange_E]::OrangeShareable
 ASSIGN   : 97 Param         [orange_E]::OrangeShareable
 ASSIGN   : 98 Param         [orange_E]::OrangeShareable
=======================================
Assignments for classes:
=======================================
 Class : com__peratonlabs__closure__tests__Parent -> purple_E
 Class : com__peratonlabs__closure__tests__Test -> orange_E
 Class : com__peratonlabs__closure__tests__Child -> orange_E
Cross-domain cut:
 XDCALL   : 10:OrangeShareable --[orange_E]--||-->[purple_E]-- 87:PurpleOrangeCallable
 XDCALL   : 11:OrangeShareable --[orange_E]--||-->[purple_E]-- 88:PurpleOrangeConstructable
----------
==========
